,start,end,light,deep,rem,awakening,sj_id
176,2019-09-22 22:08:00,2019-09-23 05:43:30,231.0,86.0,72.0,46.0,4
177,2019-09-23 22:19:00,2019-09-24 06:07:30,254.0,51.0,100.0,41.0,4
178,2019-09-24 22:41:00,2019-09-25 05:30:00,224.0,68.0,55.0,36.0,4
179,2019-09-25 22:04:00,2019-09-26 06:10:30,230.0,85.0,105.0,48.0,4
180,2019-09-26 22:17:00,2019-09-27 05:28:00,229.0,85.0,55.0,38.0,4
181,2019-09-27 22:10:00,2019-09-28 08:32:30,331.0,92.0,107.0,47.0,4
182,2019-09-29 00:24:30,2019-09-29 09:50:30,328.0,50.0,66.0,38.0,4
183,2019-09-29 23:48:00,2019-09-30 06:04:30,163.0,95.0,50.0,31.0,4
184,2019-09-30 22:02:30,2019-10-01 05:43:00,252.0,78.0,72.0,41.0,4
185,2019-10-01 22:14:00,2019-10-02 06:04:30,219.0,106.0,84.0,48.0,4
186,2019-10-02 21:58:00,2019-10-03 06:52:00,341.0,76.0,54.0,58.0,4
187,2019-10-03 22:13:00,2019-10-04 06:54:30,286.0,86.0,73.0,43.0,4
188,2019-10-05 00:43:00,2019-10-05 07:36:00,171.0,97.0,98.0,34.0,4
189,2019-10-05 21:36:00,2019-10-06 08:20:30,354.0,107.0,85.0,40.0,4
190,2019-10-06 21:42:00,2019-10-07 08:08:00,348.0,104.0,59.0,41.0,4
191,2019-10-07 22:12:00,2019-10-08 07:46:30,290.0,93.0,101.0,49.0,4
192,2019-10-08 22:25:00,2019-10-09 09:19:30,322.0,89.0,90.0,52.0,4
